test_id,group_id,question,answer_style,answer,reference_evidence,expected_label,manipulation,entailment_probability,neutral_probability,contradiction_probability,hallucination_probability,predicted_label,is_correct,nli_status,contradiction_prediction
1,hamlet,Who wrote Hamlet?,short,William Shakespeare wrote Hamlet.,Hamlet was written by William Shakespeare.,0,none,0.99853515625,0.0010023117065429688,0.00025534629821777344,0.0012578964233398438,0,True,supported,0
2,hamlet,Who wrote Hamlet?,short,Edgar Allan Poe wrote Hamlet.,Hamlet was written by William Shakespeare.,1,author_substitution,0.00015151500701904297,0.0017576217651367188,0.998046875,1.0,1,True,contradicted,1
3,hamlet,Who wrote Hamlet?,long,William Shakespeare wrote Hamlet. It is one of his most famous tragedies and was likely written around 1600.,Hamlet was written by William Shakespeare.,0,none,0.0182342529296875,0.98095703125,0.0006585121154785156,0.9814453125,1,False,unverifiable,0
4,hamlet,Who wrote Hamlet?,long,Edgar Allan Poe wrote Hamlet. It is one of his most famous tragedies and was likely written around 1600.,Hamlet was written by William Shakespeare.,1,author_substitution,0.00016582012176513672,0.0015878677368164062,0.998046875,0.99951171875,1,True,contradicted,1
5,france_capital,What is the capital of France?,short,Paris is the capital of France.,Paris is the capital and most populous city of France.,0,none,0.998046875,0.0015926361083984375,0.0005617141723632812,0.002155303955078125,0,True,supported,0
6,france_capital,What is the capital of France?,short,Lyon is the capital of France.,Paris is the capital and most populous city of France.,1,city_substitution,0.00014603137969970703,0.0012788772583007812,0.99853515625,1.0,1,True,contradicted,1
7,france_capital,What is the capital of France?,long,Paris is the capital of France and serves as the country's major political and cultural center.,Paris is the capital and most populous city of France.,0,none,0.005352020263671875,0.994140625,0.0004367828369140625,0.99462890625,1,False,unverifiable,0
8,france_capital,What is the capital of France?,long,Lyon is the capital of France and serves as the country's major political and cultural center.,Paris is the capital and most populous city of France.,1,city_substitution,0.00010645389556884766,0.0009860992431640625,0.9990234375,1.0,1,True,contradicted,1
9,water_formula,What is the chemical formula for water?,short,The chemical formula for water is H2O.,Water is a chemical compound with the formula H2O.,0,none,0.9970703125,0.0020275115966796875,0.0008072853088378906,0.002834320068359375,0,True,supported,0
10,water_formula,What is the chemical formula for water?,short,The chemical formula for water is CO2.,Water is a chemical compound with the formula H2O.,1,formula_substitution,0.0005540847778320312,0.0013151168823242188,0.998046875,0.99951171875,1,True,contradicted,1
11,water_formula,What is the chemical formula for water?,long,"The chemical formula for water is H2O, indicating that each molecule contains two hydrogen atoms and one oxygen atom.",Water is a chemical compound with the formula H2O.,0,none,0.03668212890625,0.95361328125,0.00960540771484375,0.96337890625,1,False,unverifiable,0
12,water_formula,What is the chemical formula for water?,long,"The chemical formula for water is CO2, indicating that each molecule contains two hydrogen atoms and one oxygen atom.",Water is a chemical compound with the formula H2O.,1,formula_substitution,0.0010805130004882812,0.002777099609375,0.99609375,0.9990234375,1,True,contradicted,1
13,moon_landing,In what year did humans first land on the Moon?,short,Humans first landed on the Moon in 1969.,"Apollo 11 landed the first humans on the Moon on July 20, 1969.",0,none,0.99755859375,0.0018892288208007812,0.0003654956817626953,0.002254486083984375,0,True,supported,0
14,moon_landing,In what year did humans first land on the Moon?,short,Humans first landed on the Moon in 1979.,"Apollo 11 landed the first humans on the Moon on July 20, 1969.",1,year_substitution,0.00013315677642822266,0.00019109249114990234,0.99951171875,0.99951171875,1,True,contradicted,1
15,moon_landing,In what year did humans first land on the Moon?,long,"Humans first landed on the Moon in 1969 during NASA's Apollo 11 mission, when Neil Armstrong and Buzz Aldrin reached the lunar surface.","Apollo 11 landed the first humans on the Moon on July 20, 1969.",0,none,0.77392578125,0.2252197265625,0.0006289482116699219,0.225830078125,0,True,supported,0
16,moon_landing,In what year did humans first land on the Moon?,long,"Humans first landed on the Moon in 1979 during NASA's Apollo 11 mission, when Neil Armstrong and Buzz Aldrin reached the lunar surface.","Apollo 11 landed the first humans on the Moon on July 20, 1969.",1,year_substitution,0.0014371871948242188,0.000946044921875,0.99755859375,0.99853515625,1,True,contradicted,1
17,largest_planet,What is the largest planet in the Solar System?,short,Jupiter is the largest planet in the Solar System.,Jupiter is the largest planet in the Solar System.,0,none,0.9970703125,0.0023326873779296875,0.0006093978881835938,0.002941131591796875,0,True,supported,0
18,largest_planet,What is the largest planet in the Solar System?,short,Mars is the largest planet in the Solar System.,Jupiter is the largest planet in the Solar System.,1,planet_substitution,0.0002529621124267578,0.0006093978881835938,0.9990234375,0.99951171875,1,True,contradicted,1
19,largest_planet,What is the largest planet in the Solar System?,long,Jupiter is the largest planet in the Solar System and is a gas giant with a mass greater than all the other planets combined.,Jupiter is the largest planet in the Solar System.,0,none,0.005527496337890625,0.99365234375,0.0010442733764648438,0.99462890625,1,False,unverifiable,0
20,largest_planet,What is the largest planet in the Solar System?,long,Mars is the largest planet in the Solar System and is a gas giant with a mass greater than all the other planets combined.,Jupiter is the largest planet in the Solar System.,1,planet_substitution,0.0001862049102783203,0.0006589889526367188,0.9990234375,0.99951171875,1,True,contradicted,1
21,nineteen_eighty_four,Who wrote the novel 1984?,short,George Orwell wrote the novel 1984.,The dystopian novel 1984 was written by George Orwell.,0,none,0.99853515625,0.0012950897216796875,0.0003428459167480469,0.0016384124755859375,0,True,supported,0
22,nineteen_eighty_four,Who wrote the novel 1984?,short,Aldous Huxley wrote the novel 1984.,The dystopian novel 1984 was written by George Orwell.,1,author_substitution,0.0004684925079345703,0.0013065338134765625,0.998046875,0.99951171875,1,True,contradicted,1
23,nineteen_eighty_four,Who wrote the novel 1984?,long,"George Orwell wrote the novel 1984, a dystopian work about totalitarian surveillance and political control.",The dystopian novel 1984 was written by George Orwell.,0,none,0.0311431884765625,0.96826171875,0.0006384849548339844,0.96875,1,False,unverifiable,0
24,nineteen_eighty_four,Who wrote the novel 1984?,long,"Aldous Huxley wrote the novel 1984, a dystopian work about totalitarian surveillance and political control.",The dystopian novel 1984 was written by George Orwell.,1,author_substitution,0.00115203857421875,0.00524139404296875,0.99365234375,0.9990234375,1,True,contradicted,1
25,mona_lisa,Who painted the Mona Lisa?,short,Leonardo da Vinci painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.,0,none,0.998046875,0.0014238357543945312,0.00031638145446777344,0.0017404556274414062,0,True,supported,0
26,mona_lisa,Who painted the Mona Lisa?,short,Michelangelo painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.,1,artist_substitution,0.0004127025604248047,0.0012664794921875,0.99853515625,1.0,1,True,contradicted,1
27,mona_lisa,Who painted the Mona Lisa?,long,"Leonardo da Vinci painted the Mona Lisa, which is now displayed at the Louvre Museum in Paris.",The Mona Lisa was painted by Leonardo da Vinci.,0,none,0.00894927978515625,0.99072265625,0.000492095947265625,0.9912109375,1,False,unverifiable,0
28,mona_lisa,Who painted the Mona Lisa?,long,"Michelangelo painted the Mona Lisa, which is now displayed at the Louvre Museum in Paris.",The Mona Lisa was painted by Leonardo da Vinci.,1,artist_substitution,0.00022709369659423828,0.0011005401611328125,0.99853515625,0.99951171875,1,True,contradicted,1
29,boiling_point,At what temperature does water boil at standard sea-level pressure?,short,Water boils at 100 degrees Celsius at sea level.,"At standard atmospheric pressure, water boils at 100 degrees Celsius.",0,none,0.10479736328125,0.7294921875,0.165771484375,0.8955078125,1,False,unverifiable,0
30,boiling_point,At what temperature does water boil at standard sea-level pressure?,short,Water boils at 80 degrees Celsius at sea level.,"At standard atmospheric pressure, water boils at 100 degrees Celsius.",1,number_substitution,0.002838134765625,0.9755859375,0.0214691162109375,0.9970703125,1,True,unverifiable,0
31,boiling_point,At what temperature does water boil at standard sea-level pressure?,long,"Water boils at 100 degrees Celsius at standard sea-level pressure, although the boiling point changes when atmospheric pressure changes.","At standard atmospheric pressure, water boils at 100 degrees Celsius.",0,none,0.041412353515625,0.955078125,0.0036869049072265625,0.958984375,1,False,unverifiable,0
32,boiling_point,At what temperature does water boil at standard sea-level pressure?,long,"Water boils at 80 degrees Celsius at standard sea-level pressure, although the boiling point changes when atmospheric pressure changes.","At standard atmospheric pressure, water boils at 100 degrees Celsius.",1,number_substitution,0.00141143798828125,0.0316162109375,0.966796875,0.99853515625,1,True,contradicted,1
33,australia_capital,What is the capital of Australia?,short,Canberra is the capital of Australia.,Canberra is the capital city of Australia.,0,none,0.9970703125,0.0022830963134765625,0.00064849853515625,0.0029315948486328125,0,True,supported,0
34,australia_capital,What is the capital of Australia?,short,Sydney is the capital of Australia.,Canberra is the capital city of Australia.,1,city_substitution,0.00019884109497070312,0.0010328292846679688,0.99853515625,0.99951171875,1,True,contradicted,1
35,australia_capital,What is the capital of Australia?,long,Canberra is the capital of Australia and was selected as a compromise between the larger cities of Sydney and Melbourne.,Canberra is the capital city of Australia.,0,none,0.00102996826171875,0.99853515625,0.00032019615173339844,0.9990234375,1,False,unverifiable,0
36,australia_capital,What is the capital of Australia?,long,Sydney is the capital of Australia and was selected as a compromise between the larger cities of Sydney and Melbourne.,Canberra is the capital city of Australia.,1,city_substitution,9.733438491821289e-05,0.00101470947265625,0.9990234375,1.0,1,True,contradicted,1
37,human_chromosomes,How many chromosomes are normally present in a human somatic cell?,short,A human somatic cell normally contains 46 chromosomes.,Human somatic cells normally contain 46 chromosomes arranged in 23 pairs.,0,none,0.99658203125,0.00260162353515625,0.0006456375122070312,0.003246307373046875,0,True,supported,0
