test_id,group_id,question,answer_style,answer,reference_evidence,expected_label,manipulation,question_evidence,labels,predicted_label,hallucination_probability,is_correct
1,hamlet,Who wrote Hamlet?,short,William Shakespeare wrote Hamlet.,Hamlet was written by William Shakespeare.,0,none,Question: Who wrote Hamlet? Reference evidence: Hamlet was written by William Shakespeare.,0,0,5.3169383e-06,True
2,hamlet,Who wrote Hamlet?,short,Edgar Allan Poe wrote Hamlet.,Hamlet was written by William Shakespeare.,1,author_substitution,Question: Who wrote Hamlet? Reference evidence: Hamlet was written by William Shakespeare.,1,0,0.00088060746,False
3,hamlet,Who wrote Hamlet?,long,William Shakespeare wrote Hamlet. It is one of his most famous tragedies and was likely written around 1600.,Hamlet was written by William Shakespeare.,0,none,Question: Who wrote Hamlet? Reference evidence: Hamlet was written by William Shakespeare.,0,0,0.018773174,True
4,hamlet,Who wrote Hamlet?,long,Edgar Allan Poe wrote Hamlet. It is one of his most famous tragedies and was likely written around 1600.,Hamlet was written by William Shakespeare.,1,author_substitution,Question: Who wrote Hamlet? Reference evidence: Hamlet was written by William Shakespeare.,1,0,0.35631192,False
5,france_capital,What is the capital of France?,short,Paris is the capital of France.,Paris is the capital and most populous city of France.,0,none,Question: What is the capital of France? Reference evidence: Paris is the capital and most populous city of France.,0,0,0.00011417267,True
6,france_capital,What is the capital of France?,short,Lyon is the capital of France.,Paris is the capital and most populous city of France.,1,city_substitution,Question: What is the capital of France? Reference evidence: Paris is the capital and most populous city of France.,1,0,0.0035574143,False
7,france_capital,What is the capital of France?,long,Paris is the capital of France and serves as the country's major political and cultural center.,Paris is the capital and most populous city of France.,0,none,Question: What is the capital of France? Reference evidence: Paris is the capital and most populous city of France.,0,0,0.0034083724,True
8,france_capital,What is the capital of France?,long,Lyon is the capital of France and serves as the country's major political and cultural center.,Paris is the capital and most populous city of France.,1,city_substitution,Question: What is the capital of France? Reference evidence: Paris is the capital and most populous city of France.,1,0,0.008137612,False
9,water_formula,What is the chemical formula for water?,short,The chemical formula for water is H2O.,Water is a chemical compound with the formula H2O.,0,none,Question: What is the chemical formula for water? Reference evidence: Water is a chemical compound with the formula H2O.,0,1,0.84226656,False
10,water_formula,What is the chemical formula for water?,short,The chemical formula for water is CO2.,Water is a chemical compound with the formula H2O.,1,formula_substitution,Question: What is the chemical formula for water? Reference evidence: Water is a chemical compound with the formula H2O.,1,1,0.9999927,True
11,water_formula,What is the chemical formula for water?,long,"The chemical formula for water is H2O, indicating that each molecule contains two hydrogen atoms and one oxygen atom.",Water is a chemical compound with the formula H2O.,0,none,Question: What is the chemical formula for water? Reference evidence: Water is a chemical compound with the formula H2O.,0,1,0.9998933,False
12,water_formula,What is the chemical formula for water?,long,"The chemical formula for water is CO2, indicating that each molecule contains two hydrogen atoms and one oxygen atom.",Water is a chemical compound with the formula H2O.,1,formula_substitution,Question: What is the chemical formula for water? Reference evidence: Water is a chemical compound with the formula H2O.,1,1,0.99999774,True
13,moon_landing,In what year did humans first land on the Moon?,short,Humans first landed on the Moon in 1969.,"Apollo 11 landed the first humans on the Moon on July 20, 1969.",0,none,"Question: In what year did humans first land on the Moon? Reference evidence: Apollo 11 landed the first humans on the Moon on July 20, 1969.",0,0,3.1539464e-06,True
14,moon_landing,In what year did humans first land on the Moon?,short,Humans first landed on the Moon in 1979.,"Apollo 11 landed the first humans on the Moon on July 20, 1969.",1,year_substitution,"Question: In what year did humans first land on the Moon? Reference evidence: Apollo 11 landed the first humans on the Moon on July 20, 1969.",1,0,6.9918256e-06,False
15,moon_landing,In what year did humans first land on the Moon?,long,"Humans first landed on the Moon in 1969 during NASA's Apollo 11 mission, when Neil Armstrong and Buzz Aldrin reached the lunar surface.","Apollo 11 landed the first humans on the Moon on July 20, 1969.",0,none,"Question: In what year did humans first land on the Moon? Reference evidence: Apollo 11 landed the first humans on the Moon on July 20, 1969.",0,0,2.3705035e-05,True
16,moon_landing,In what year did humans first land on the Moon?,long,"Humans first landed on the Moon in 1979 during NASA's Apollo 11 mission, when Neil Armstrong and Buzz Aldrin reached the lunar surface.","Apollo 11 landed the first humans on the Moon on July 20, 1969.",1,year_substitution,"Question: In what year did humans first land on the Moon? Reference evidence: Apollo 11 landed the first humans on the Moon on July 20, 1969.",1,0,8.796095e-05,False
17,largest_planet,What is the largest planet in the Solar System?,short,Jupiter is the largest planet in the Solar System.,Jupiter is the largest planet in the Solar System.,0,none,Question: What is the largest planet in the Solar System? Reference evidence: Jupiter is the largest planet in the Solar System.,0,0,3.1905731e-06,True
18,largest_planet,What is the largest planet in the Solar System?,short,Mars is the largest planet in the Solar System.,Jupiter is the largest planet in the Solar System.,1,planet_substitution,Question: What is the largest planet in the Solar System? Reference evidence: Jupiter is the largest planet in the Solar System.,1,0,2.1675269e-05,False
19,largest_planet,What is the largest planet in the Solar System?,long,Jupiter is the largest planet in the Solar System and is a gas giant with a mass greater than all the other planets combined.,Jupiter is the largest planet in the Solar System.,0,none,Question: What is the largest planet in the Solar System? Reference evidence: Jupiter is the largest planet in the Solar System.,0,0,8.360113e-05,True
